RoleName,LastUsedDate
AWSServiceRoleForOrganizations,2024-06-04T10:19:41+00:00
AWSServiceRoleForSSO,Never
AWSServiceRoleForSupport,Never
AWSServiceRoleForTrustedAdvisor,Never
desbribe_ec2_details-role-jtvubyqy,2024-06-09T16:11:05+00:00
OrganizationAccountAccessRole,Never
